002903.01, 4826.81862, 08921.42231
002904.00, 4826.82022, 08921.42191
002905.00, 4826.81931, 08921.42182
002906.00, 4826.81897, 08921.42148
002907.00, 4826.81794, 08921.42139
002908.00, 4826.81712, 08921.42163
002909.00, 4826.81692, 08921.42324
002910.00, 4826.81714, 08921.42529
002912.00, 4826.81442, 08921.42085
002913.00, 4826.81869, 08921.42107
002914.00, 4826.81894, 08921.42262
002915.00, 4826.81902, 08921.42184
002916.00, 4826.81827, 08921.42007
002917.00, 4826.81924, 08921.41744
002918.00, 4826.81890, 08921.41575
002919.00, 4826.81904, 08921.41402
002920.00, 4826.81848, 08921.41275
002921.00, 4826.81760, 08921.41169
002922.00, 4826.81766, 08921.41041
002923.00, 4826.81915, 08921.40914
002924.00, 4826.82020, 08921.40714
002925.00, 4826.81967, 08921.40598
002926.00, 4826.81949, 08921.40462
002927.00, 4826.81901, 08921.40285
002928.00, 4826.81906, 08921.40123
002929.00, 4826.81811, 08921.40021
002930.00, 4826.81674, 08921.39937
002931.00, 4826.81621, 08921.39805
002932.00, 4826.81582, 08921.39645
002933.00, 4826.81672, 08921.39456
002934.00, 4826.81663, 08921.39328
002935.00, 4826.81665, 08921.39197
002936.00, 4826.81607, 08921.39099
002937.00, 4826.81547, 08921.39012
002938.00, 4826.81521, 08921.38900
002939.00, 4826.81532, 08921.38801
002940.00, 4826.81579, 08921.38685
002941.00, 4826.81531, 08921.38576
002942.00, 4826.81507, 08921.38453
002943.00, 4826.81535, 08921.38274
002944.00, 4826.81612, 08921.38079
002945.00, 4826.81558, 08921.37956
002946.00, 4826.81599, 08921.37826
002947.00, 4826.81625, 08921.37700
002948.00, 4826.81632, 08921.37583
002949.00, 4826.81634, 08921.37456
002950.00, 4826.81723, 08921.37287
002951.00, 4826.81736, 08921.37170
002953.00, 4826.82543, 08921.36632
002954.00, 4826.82545, 08921.36526
002955.00, 4826.82521, 08921.36428
002956.00, 4826.82579, 08921.36311
002957.00, 4826.82610, 08921.36217
002958.00, 4826.82527, 08921.36207
002959.00, 4826.82510, 08921.36155
003000.00, 4826.82523, 08921.36050
003001.00, 4826.82548, 08921.35924
003002.00, 4826.82600, 08921.35809
003003.00, 4826.82660, 08921.35696
003004.00, 4826.82722, 08921.35587
003005.00, 4826.82775, 08921.35470
003006.00, 4826.82827, 08921.35355
003007.00, 4826.82870, 08921.35248
003008.00, 4826.82905, 08921.35135
003009.00, 4826.82942, 08921.35038
003010.00, 4826.82980, 08921.34953
003011.00, 4826.83025, 08921.34849
003012.00, 4826.83067, 08921.34745
003013.00, 4826.83106, 08921.34651
003014.00, 4826.83141, 08921.34570
003015.00, 4826.83179, 08921.34489
003016.00, 4826.83251, 08921.34444
003017.00, 4826.83330, 08921.34485
003018.00, 4826.83371, 08921.34598
003019.00, 4826.83382, 08921.34721
003020.00, 4826.83383, 08921.34844
003021.00, 4826.83397, 08921.34963
003022.00, 4826.83409, 08921.35082
003023.00, 4826.83414, 08921.35200
003024.00, 4826.83409, 08921.35321
003025.00, 4826.83413, 08921.35444
003026.00, 4826.83422, 08921.35569
003027.00, 4826.83429, 08921.35691
003028.00, 4826.83434, 08921.35796
003029.00, 4826.83447, 08921.35900
003030.00, 4826.83462, 08921.36007
003031.00, 4826.83471, 08921.36133
003032.00, 4826.83482, 08921.36257
003033.00, 4826.83488, 08921.36372
003034.00, 4826.83500, 08921.36481
003035.00, 4826.83512, 08921.36591
003036.00, 4826.83529, 08921.36697
003037.00, 4826.83534, 08921.36819
003038.00, 4826.83547, 08921.36933
003039.00, 4826.83568, 08921.37043
003040.00, 4826.83589, 08921.37155
003041.00, 4826.83622, 08921.37220
003042.00, 4826.83691, 08921.37267
